level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_pipeline_chunk_size,audio,1000.0,mixed,audio_pipeline_1781071552218,,88,88,0,11.539103763319455,5.27631922786886,11.605534315811685,88.39446568418832,4286.598,3912.6100087165833
by_pipeline_chunk_size,audio,100.0,filter-heavy,audio_pipeline_1781071552228,,852,852,0,15.277496177976392,8.148097047763251,81.52090232568169,18.47909767431831,4722.846,11519.163132429123
by_pipeline_chunk_size,audio,200.0,filter-heavy,audio_pipeline_1781071552228,,428,428,0,9.977431188064376,5.454394368684181,48.01040040542385,51.98959959457615,3795.616,6055.419432401657
by_pipeline_chunk_size,audio,500.0,filter-heavy,audio_pipeline_1781071552228,,172,172,0,5.427998082967087,2.776168331390204,21.776643015362684,78.22335698463732,3355.197,3781.8568563461304
by_pipeline_chunk_size,audio,1000.0,filter-heavy,audio_pipeline_1781071552228,,88,88,0,4.995374662233954,2.3048471188328477,10.65005010970229,89.34994989029771,3128.014,3086.731211423874
by_pipeline_chunk_size,audio,100.0,mapper-heavy,audio_pipeline_1781071552263,,639,639,0,13.415098160330105,9.260798631891957,102.471008669704,-2.4710086697040055,6831.046,12748.696325778961
by_pipeline_chunk_size,audio,200.0,mapper-heavy,audio_pipeline_1781071552263,,321,321,0,9.123343682008041,6.229808390727296,56.349530320211976,43.650469679788024,6077.365,8077.133493423462
by_pipeline_chunk_size,audio,500.0,mapper-heavy,audio_pipeline_1781071552263,,129,129,0,5.997441934249772,3.4977324103421945,26.095695652534484,73.90430434746551,5615.635,5658.3594217300415
by_pipeline_chunk_size,audio,1000.0,mapper-heavy,audio_pipeline_1781071552263,,66,66,0,18.30558652435496,10.98068252523018,24.799634629226684,75.20036537077331,5484.370000000001,4905.718065738678
by_pipeline_chunk_size,image,100.0,mapper-heavy,image_pipeline_1781071560242,,3682,3682,0,1.342222862586282,0.7883701037081086,28.285563692984518,71.71443630701549,10660.338,10337.297515153885
by_pipeline_chunk_size,image,200.0,mapper-heavy,image_pipeline_1781071560242,,1841,1841,0,1.3432009755928422,0.9652864289312243,28.286137119036,71.713862880964,7503.132,6732.131749868393
by_pipeline_chunk_size,image,500.0,mapper-heavy,image_pipeline_1781071560242,,742,742,0,1.5747917188704512,1.17157395400127,27.168470550463567,72.83152944953643,4349.705,3871.721472978592
