ds_type,pipeline_base_name,pipeline_category,chunk_size,operator_index,operator_name,chunk_parts,chunk_actual_time_sum,chunk_actual_time_mean,chunk_actual_time_median,chunk_actual_time_min,chunk_actual_time_max,chunk_input_count_sum,chunk_output_count_sum,chunk_input_count_mean,chunk_output_count_mean,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_input_count,full_output_count,chunk_minus_full_time,chunk_sum_to_full_ratio,chunk_sum_relative_error,chunk_sum_accuracy,chunk_input_coverage_ratio,chunk_output_coverage_ratio,avg_chunk_time_to_full_ratio,estimated_repeated_overhead,estimated_repeated_overhead_per_chunk,reason
audio,audio_pipeline_1781071552228,filter-heavy,200,2,audio_nmf_snr_filter,107,3021.139,28.234943925233647,28.331,14.774,34.294,11720.0,7738.0,109.53271028037383,72.3177570093458,audio_pipeline_1781071552228_8G,8G,8192.0,2821.116,11720.0,7738.0,200.02300000000014,1.0709020827218731,0.07090208272187323,92.90979172781267,1.0,1.0,0.010008430679643675,200.02300000000014,1.8693738317757023,chunk_sum与full相对接近；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552228,filter-heavy,200,3,audio_duration_filter,107,373.782,3.493289719626168,3.484,2.924,3.668,7738.0,6999.0,72.3177570093458,65.41121495327103,audio_pipeline_1781071552228_8G,8G,8192.0,11.102,7738.0,6999.0,362.68,33.66798774995496,32.66798774995496,-3166.798774995496,1.0,1.0,0.3146540911210744,362.68,3.389532710280374,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
audio,audio_pipeline_1781071552228,filter-heavy,200,4,audio_ffmpeg_wrapped_mapper,107,163.428,1.5273644859813085,1.528,1.442,1.6,6999.0,6999.0,65.41121495327103,65.41121495327103,audio_pipeline_1781071552228_8G,8G,8192.0,54.899,6999.0,6999.0,108.529,2.9768848248601976,1.9768848248601978,-97.68848248601978,1.0,1.0,0.027821353503366335,108.529,1.0142897196261682,chunk_sum大于full，存在重复调度/I/O/初始化开销；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552228,filter-heavy,500,1,audio_size_filter,43,95.629,2.2239302325581396,2.222,2.127,2.328,21300.0,11720.0,495.3488372093023,272.5581395348837,audio_pipeline_1781071552228_8G,8G,8192.0,4.914,21300.0,11720.0,90.715,19.460520960520963,18.460520960520963,-1746.0520960520962,1.0,1.0,0.45257025489583635,90.715,2.1096511627906978,chunk_sum远大于full，重复固定开销/初始化开销很明显
audio,audio_pipeline_1781071552228,filter-heavy,500,2,audio_nmf_snr_filter,43,3015.837,70.13574418604651,69.824,42.403,90.593,11720.0,7738.0,272.5581395348837,179.95348837209303,audio_pipeline_1781071552228_8G,8G,8192.0,2821.116,11720.0,7738.0,194.721,1.0690226846396957,0.06902268463969578,93.09773153603042,1.0,1.0,0.024860992666039437,194.721,4.5283953488372095,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552228,filter-heavy,500,3,audio_duration_filter,43,149.754,3.4826511627906975,3.462,3.343,4.03,7738.0,6999.0,179.95348837209303,162.7674418604651,audio_pipeline_1781071552228_8G,8G,8192.0,11.102,7738.0,6999.0,138.652,13.488920915150421,12.488920915150421,-1148.8920915150422,1.0,1.0,0.3136958352360563,138.652,3.2244651162790694,chunk_sum远大于full，重复固定开销/初始化开销很明显
audio,audio_pipeline_1781071552228,filter-heavy,500,4,audio_ffmpeg_wrapped_mapper,43,93.977,2.1855116279069766,2.206,1.479,2.286,6999.0,6999.0,162.7674418604651,162.7674418604651,audio_pipeline_1781071552228_8G,8G,8192.0,54.899,6999.0,6999.0,39.078,1.711816244376036,0.7118162443760361,28.818375562396398,1.0,1.0,0.039809680101768274,39.078,0.9087906976744187,chunk_sum大于full，存在重复调度/I/O/初始化开销；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552228,filter-heavy,1000,1,audio_size_filter,22,48.771,2.2168636363636365,2.2195,2.105,2.278,21300.0,11720.0,968.1818181818181,532.7272727272727,audio_pipeline_1781071552228_8G,8G,8192.0,4.914,21300.0,11720.0,43.857,9.924908424908425,8.924908424908425,-792.4908424908425,1.0,1.0,0.4511322011322012,43.857,1.9935,chunk_sum远大于full，重复固定开销/初始化开销很明显
audio,audio_pipeline_1781071552228,filter-heavy,1000,2,audio_nmf_snr_filter,22,2911.073,132.3215,136.019,42.639,146.855,11720.0,7738.0,532.7272727272727,351.72727272727275,audio_pipeline_1781071552228_8G,8G,8192.0,2821.116,11720.0,7738.0,89.95699999999988,1.0318870262690367,0.03188702626903675,96.81129737309632,1.0,1.0,0.046903955739501665,89.95699999999988,4.08895454545454,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552228,filter-heavy,1000,3,audio_duration_filter,22,92.419,4.2008636363636365,4.228999999999999,3.433,4.943,7738.0,6999.0,351.72727272727275,318.1363636363636,audio_pipeline_1781071552228_8G,8G,8192.0,11.102,7738.0,6999.0,81.317,8.324536119618086,7.324536119618086,-632.4536119618086,1.0,1.0,0.37838800543718576,81.317,3.6962272727272723,chunk_sum远大于full，重复固定开销/初始化开销很明显
audio,audio_pipeline_1781071552228,filter-heavy,1000,4,audio_ffmpeg_wrapped_mapper,22,75.751,3.443227272727273,3.5285,1.569,3.66,6999.0,6999.0,318.1363636363636,318.1363636363636,audio_pipeline_1781071552228_8G,8G,8192.0,54.899,6999.0,6999.0,20.852000000000004,1.3798247691214778,0.37982476912147767,62.01752308785223,1.0,1.0,0.0627193076873399,20.852000000000004,0.947818181818182,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,100,1,audio_nmf_snr_filter,213,5763.832,27.060244131455402,27.039,22.477,32.988,21300.0,14373.0,100.0,67.47887323943662,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,21300.0,14373.0,1037.58,1.2195354796993474,0.21953547969934736,78.04645203006527,1.0,1.0,0.005725518684034495,1037.58,4.871267605633802,chunk_sum与full相对接近；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,100,2,audio_duration_filter,213,606.384,2.84687323943662,2.858,2.242,3.015,14373.0,12415.0,67.47887323943662,58.286384976525824,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,14373.0,12415.0,575.253,19.478461983232148,18.478461983232148,-1747.8461983232148,1.0,1.0,0.09144817832503356,575.253,2.700718309859155,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
audio,audio_pipeline_1781071552263,mapper-heavy,100,3,audio_ffmpeg_wrapped_mapper,213,460.83,2.163521126760563,2.218,1.524,2.36,12415.0,12415.0,58.286384976525824,58.286384976525824,audio_pipeline_1781071552263_8G,8G,8192.0,262.831,12415.0,12415.0,197.99899999999997,1.7533319889967316,0.7533319889967316,24.666801100326836,1.0,1.0,0.008231605582144278,197.99899999999997,0.9295727699530515,chunk_sum大于full，存在重复调度/I/O/初始化开销；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,200,1,audio_nmf_snr_filter,107,5424.085,50.69238317757009,50.611,28.929,58.443,21300.0,14373.0,199.06542056074767,134.3271028037383,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,21300.0,14373.0,697.8329999999996,1.1476504003595236,0.1476504003595237,85.23495996404763,1.0,1.0,0.01072570467625723,697.8329999999996,6.521803738317754,chunk_sum与full相对接近；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,200,2,audio_duration_filter,107,306.171,2.861411214953271,2.86,2.64,2.998,14373.0,12415.0,134.3271028037383,116.02803738317758,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,14373.0,12415.0,275.03999999999996,9.834923388262503,8.834923388262503,-783.4923388262503,1.0,1.0,0.0919151718529206,275.03999999999996,2.570467289719626,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
