ds_type,pipeline_category,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,chunk_pred_abs_error,chunk_actual_abs_error,full_pred_abs_error,chunk_pred_mape,chunk_actual_mape,full_pred_mape,chunk_pred_accuracy,chunk_actual_accuracy,full_pred_accuracy
audio,mixed,500,1,4,172,3864.232,2864.1639103889465,4430.54,4556.195298433304,691.9632984333039,566.308,1000.0680896110534,17.906877703856907,14.655124226495717,25.880125458591863,82.0931222961431,85.34487577350428,74.11987454140814
audio,mixed,1000,1,4,88,3864.232,2864.1639103889465,4286.598,3912.6100087165833,48.37800871658328,422.366,1000.0680896110534,1.2519436906630679,10.930140840405027,25.880125458591863,98.74805630933693,89.06985915959497,74.11987454140814
image,filter-heavy,100,1,8,4208,55.565999999999995,50.87548470497131,4903.845,5597.105415821075,5541.539415821076,4848.279,4.690515295028682,9972.896044021662,8725.261850772056,8.44134055902653,-9872.896044021662,-8625.261850772056,91.55865944097347
image,filter-heavy,200,1,8,2104,55.565999999999995,50.87548470497131,2440.197,2644.8502613306046,2589.2842613306047,2384.6310000000003,4.690515295028682,4659.835621298285,4291.528992549402,8.44134055902653,-4559.835621298285,-4191.528992549402,91.55865944097347
image,filter-heavy,500,1,8,848,55.565999999999995,50.87548470497131,1049.777,1106.3252543210983,1050.7592543210983,994.211,4.690515295028682,1891.0111476822128,1789.2434222366198,8.44134055902653,-1791.0111476822128,-1689.2434222366198,91.55865944097347
image,filter-heavy,1000,1,8,424,55.565999999999995,50.87548470497131,621.725,666.5759860277176,611.0099860277176,566.159,4.690515295028682,1099.6112479352798,1018.8946478062124,8.44134055902653,-999.6112479352798,-918.8946478062124,91.55865944097347
image,mapper-heavy,100,1,7,3682,202.44,171.0279884338379,10660.338,10337.297515153885,10134.857515153884,10457.898,31.412011566162107,5006.3512720578365,5165.924718435092,15.516702018455891,-4906.3512720578365,-5065.924718435092,84.48329798154411
image,mapper-heavy,200,1,7,1841,202.44,171.0279884338379,7503.132,6732.131749868393,6529.691749868393,7300.692,31.412011566162107,3225.494837911674,3606.3485477178424,15.516702018455891,-3125.494837911674,-3506.3485477178424,84.48329798154411
image,mapper-heavy,500,1,7,742,202.44,171.0279884338379,4349.705,3871.721472978592,3669.281472978592,4147.265,31.412011566162107,1812.5278961561903,2048.6391029440824,15.516702018455891,-1712.5278961561903,-1948.6391029440824,84.48329798154411
image,mapper-heavy,1000,1,7,371,202.44,171.0279884338379,2657.973,2187.064123392105,1984.624123392105,2455.533,31.412011566162107,980.3517701008225,1212.9682868998223,15.516702018455891,-880.3517701008225,-1112.9682868998223,84.48329798154411
image,mixed,100,1,8,4208,82.44,76.02034497261047,7320.0509999999995,6991.426427125931,6908.986427125931,7237.611,6.419655027389524,8380.62400185096,8779.246724890829,7.787063352000878,-8280.62400185096,-8679.246724890829,92.21293664799913
