ds_type,pipeline_base_name,pipeline_category,chunk_size,operator_index,operator_name,chunk_parts,chunk_actual_time,chunk_pred_time,chunk_actual_time_mean,chunk_actual_time_median,chunk_actual_time_min,chunk_actual_time_max,chunk_pred_time_mean,chunk_pred_time_median,chunk_pred_time_min,chunk_pred_time_max,chunk_self_mae,chunk_self_mape,chunk_self_valid_rows,chunk_self_rmse,chunk_self_accuracy,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_pred_time,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_relative_error,chunk_pred_relative_error,full_pred_relative_error,chunk_actual_sum_vs_full_relative_error,chunk_pred_sum_vs_full_relative_error
audio,audio_pipeline_1781071552228,filter-heavy,1000,3,audio_duration_filter,22,92.419,96.12273025512695,4.2008636363636365,4.228999999999999,3.433,4.943,4.36921501159668,4.371611595153809,4.103904724121094,4.431159496307373,0.22238228815252128,5.49790637964732,22,0.29335161799228165,94.50209362035268,audio_pipeline_1781071552228_8G,8G,8192.0,11.102,13.447773933410645,81.317,85.02073025512695,2.345773933410644,7.324536119618086,7.658145402191222,0.21129291419659918,7.324536119618086,7.658145402191222
audio,audio_pipeline_1781071552228,filter-heavy,1000,4,audio_ffmpeg_wrapped_mapper,22,75.751,113.34421300888062,3.443227272727273,3.5285,1.569,3.66,5.152009682221846,5.190023422241211,4.131235599517822,5.395065784454346,1.7087824094945736,52.519866583161836,22,1.7226859328038127,47.480133416838164,audio_pipeline_1781071552228_8G,8G,8192.0,54.899,38.555145263671875,20.852000000000004,58.445213008880614,16.343854736328126,0.37982476912147767,1.0645952204754296,0.29770769479094567,0.37982476912147767,1.0645952204754296
audio,audio_pipeline_1781071552263,mapper-heavy,100,1,audio_nmf_snr_filter,213,5763.832,6040.150449752808,27.060244131455402,27.039,22.477,32.988,28.357513848604732,28.358501434326172,27.0559139251709,28.83654022216797,1.7763776770220117,6.777858420935694,213,2.136101360996084,93.2221415790643,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,1928.8922119140625,1037.58,1313.8984497528072,2797.359788085938,0.21953547969934736,0.278000083311852,0.5918769858411989,0.21953547969934736,0.278000083311852
audio,audio_pipeline_1781071552263,mapper-heavy,100,2,audio_duration_filter,213,606.384,838.5598983764648,2.84687323943662,2.858,2.242,3.015,3.9369009313449053,3.941108226776123,3.915114402770996,3.9480042457580566,1.0900276919082856,38.514725755492265,213,1.095136297227023,61.485274244507735,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,32.362403869628906,575.253,807.4288983764649,1.231403869628906,18.478461983232148,25.936490905414693,0.039555551367733324,18.478461983232148,25.936490905414693
audio,audio_pipeline_1781071552263,mapper-heavy,100,3,audio_ffmpeg_wrapped_mapper,213,460.83,1298.5956683158875,2.163521126760563,2.218,1.524,2.36,6.0966932784783445,6.098764419555664,5.994443416595459,6.131229400634766,3.9331721517177813,184.67502033030212,213,3.9376424009695055,-84.67502033030212,audio_pipeline_1781071552263_8G,8G,8192.0,262.831,132.18902587890625,197.99899999999997,1035.7646683158873,130.64197412109377,0.7533319889967316,3.9408010026058085,0.49705694579822685,0.7533319889967316,3.9408010026058085
audio,audio_pipeline_1781071552263,mapper-heavy,200,1,audio_nmf_snr_filter,107,5424.085,4077.8787384033203,50.69238317757009,50.611,28.929,58.443,38.11101624676,38.16897964477539,28.312774658203125,39.15467071533203,12.581366930810091,24.557330903373455,107,12.870966230552668,75.44266909662655,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,1928.8922119140625,697.8329999999996,648.3732615966801,2797.359788085938,0.1476504003595237,0.13718550377692093,0.5918769858411989,0.1476504003595237,0.13718550377692093
audio,audio_pipeline_1781071552263,mapper-heavy,200,2,audio_duration_filter,107,306.171,447.8501281738281,2.861411214953271,2.86,2.64,2.998,4.185515216577833,4.203488826751709,3.9272027015686035,4.363013744354248,1.324104001624562,46.35586038807554,107,1.327667324370008,53.64413961192446,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,32.362403869628906,275.03999999999996,416.71912817382815,1.231403869628906,8.834923388262503,13.385985936006815,0.039555551367733324,8.834923388262503,13.385985936006815
audio,audio_pipeline_1781071552263,mapper-heavy,200,3,audio_ffmpeg_wrapped_mapper,107,347.109,667.6675224304199,3.2440093457943924,3.053,2.221,3.767,6.239883387200186,6.213829517364502,6.097154140472412,6.413819313049316,2.995874041405794,94.30931282802437,107,3.0095520882553655,5.690687171975625,audio_pipeline_1781071552263_8G,8G,8192.0,262.831,132.18902587890625,84.27799999999996,404.8365224304199,130.64197412109377,0.32065471728981726,1.5402921361270927,0.49705694579822685,0.32065471728981726,1.5402921361270927
audio,audio_pipeline_1781071552263,mapper-heavy,500,1,audio_nmf_snr_filter,43,5188.408,2578.0842895507812,120.6606511627907,119.864,77.92,133.575,59.95544859420421,60.3049430847168,45.4248046875,61.1375617980957,60.70520256858648,50.15823508723884,43,61.06513305485654,49.84176491276116,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,1928.8922119140625,462.15599999999995,2148.167710449219,2797.359788085938,0.09778488324363574,0.4545182335705373,0.5918769858411989,0.09778488324363574,0.4545182335705373
audio,audio_pipeline_1781071552263,mapper-heavy,500,2,audio_duration_filter,43,133.364,191.94446420669556,3.1014883720930233,2.92,2.716,3.583,4.46382474899292,4.464783191680908,4.2298994064331055,4.690624237060547,1.3623363768998966,45.120713673524605,43,1.393261555555303,54.879286326475395,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,32.362403869628906,102.233,160.81346420669556,1.231403869628906,3.2839613247245514,5.16570184724858,0.039555551367733324,3.2839613247245514,5.16570184724858
