level,operator_rows,full_actual_time_sum,chunk_actual_time_sum,chunk_sum_to_full_ratio,chunk_sum_mape_like,chunk_sum_accuracy,mean_operator_relative_error,median_operator_relative_error,estimated_repeated_overhead_sum,ds_type,chunk_size,pipeline_category,pipeline_base_name
by_pipeline_category_chunk_size,20,50.55499999999999,2758.1749999999993,54.55790722974977,5355.790722974977,-5255.790722974977,8404.11599598815,9564.784802656963,2707.6199999999994,text,100,mixed,
by_pipeline_category_chunk_size,20,50.55499999999999,1379.492,27.28695480170112,2628.695480170112,-2528.695480170112,4146.966918099625,4752.3999076608125,1328.937,text,200,mixed,
by_pipeline_category_chunk_size,20,50.55499999999999,567.9450000000002,11.23420037582831,1023.4200375828312,-923.4200375828312,1610.6839126805717,1831.3545754198713,517.39,text,500,mixed,
by_pipeline_category_chunk_size,20,50.55499999999999,296.036,5.855721491444962,485.5721491444961,-385.5721491444961,764.9655772527157,874.6812645691557,245.48100000000002,text,1000,mixed,
by_pipeline_chunk_size,4,3864.232,6110.418,1.5812761759645901,58.127617596459004,41.872382403540996,3958.473769766629,3747.475499318307,2246.186,audio,100,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,3864.232,5090.098,1.3172340584105717,31.72340584105716,68.27659415894284,1955.0912205029658,1840.7766111137548,1225.8660000000004,audio,200,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,3864.232,4430.54,1.146551242264957,14.655124226495717,85.34487577350428,762.0390865027318,717.877053735229,566.3079999999999,audio,500,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,3864.232,4286.598,1.1093014084040502,10.930140840405027,89.06985915959497,379.92576888343,370.60261935369203,422.36600000000004,audio,1000,mixed,audio_pipeline_1781071552218
by_pipeline_chunk_size,4,2892.031,4722.846,1.6330551090219987,63.305510902199856,36.694489097800144,4146.793797155601,3525.8959970903347,1830.8149999999998,audio,100,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,4,2892.031,3795.616,1.3124395969476124,31.243959694761227,68.75604030523877,2049.9914360354956,1732.243628740758,903.5850000000002,audio,200,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,4,2892.031,3355.1969999999997,1.1601525018231131,16.015250182311313,83.98474981768868,793.257020117178,660.036857976323,463.16600000000005,audio,500,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,4,2892.031,3128.014,1.0815976730539887,8.159767305398876,91.84023269460113,416.5289084979256,385.2180444369782,235.98299999999986,audio,1000,filter-heavy,audio_pipeline_1781071552228
by_pipeline_chunk_size,3,5020.214000000001,6831.046,1.3607081291753695,36.07081291753696,63.92918708246304,648.3776483976075,75.33319889967316,1810.832,audio,100,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,3,5020.214000000001,6077.365000000001,1.2105788717373402,21.05788717373402,78.94211282626598,310.10761686372814,32.06547172898173,1057.1509999999996,audio,200,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,3,5020.214000000001,5615.635,1.118604704899034,11.860470489903403,88.1395295100966,116.66048241220741,11.806826439803517,595.4209999999998,audio,500,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,3,5020.214000000001,5484.37,1.092457413170036,9.245741317003597,90.75425868299641,57.88690661645054,8.52182659748147,464.1559999999999,audio,1000,mapper-heavy,audio_pipeline_1781071552263
by_pipeline_chunk_size,7,202.44000000000003,10660.338000000002,52.65924718435092,5165.924718435092,-5065.924718435092,7698.755481129585,7879.49474625531,10457.898000000001,image,100,mapper-heavy,image_pipeline_1781071560242
by_pipeline_chunk_size,7,202.44000000000003,7503.132,37.06348547717842,3606.348547717842,-3506.348547717842,4810.790386086496,4716.011369019422,7300.692,image,200,mapper-heavy,image_pipeline_1781071560242
