level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_operator,audio,,,,audio_nmf_snr_filter,1155,1155,0,32.29748447470445,16.544571010520244,31.555838945867624,68.44416105413238,50253.034,36975.691020965576
by_operator,audio,,,,audio_size_filter,770,770,0,0.526289366808846,0.4869432945251465,21.88980908870949,78.11019091129052,1709.839,1340.2996230125427
by_operator,image,,,,image_aspect_ratio_filter,2844,2844,0,1.2413261488260217,1.0018249854675156,36.722107194642355,63.277892805357645,6713.539999999999,4039.2152037918568
by_operator,image,,,,image_blur_mapper,948,948,0,0.2134997762891576,0.14721801942913842,14.126355346102375,85.87364465389763,921.825,904.7003924846649
by_operator,image,,,,image_deduplicator,2844,2844,0,0.32193503465179407,0.2874326207084495,17.78633926050463,82.21366073949537,4700.991,5441.1129059791565
by_operator,image,,,,image_detection_yolo_mapper,948,948,0,0.1910780901801084,0.1159599913808867,12.31023512187097,87.68976487812903,870.5619999999999,803.2568772733212
by_operator,image,,,,image_face_count_filter,948,948,0,0.07315079110989599,0.05411316310101924,6.700634631825388,93.2993653681746,751.713,719.3432383537292
by_operator,image,,,,image_face_ratio_filter,948,948,0,0.5407435789887485,0.1564406853617495,15.538403252663318,84.46159674733669,801.03,776.7506989240646
by_operator,image,,,,image_nsfw_filter,948,948,0,0.41456238197279416,0.11219696457476555,9.431422618016354,90.56857738198364,903.3340000000001,802.5957511663437
by_operator,image,,,,image_remove_background_mapper,1896,1896,0,0.8773890561970413,0.512834060847885,19.44990393219842,80.55009606780158,3477.419,2602.292085081339
by_operator,image,,,,image_segment_mapper,2844,2844,0,2.82677473764723,1.0980991977876584,16.763588095780868,83.23641190421912,7623.946,4538.891341000795
by_operator,image,,,,image_shape_filter,2844,2844,0,0.48765300306691683,0.37535995468576916,15.516787488878537,84.48321251112147,6439.917,5754.889512300491
