                                                                 importance    stddev       p_value  n      p99_high       p99_low
profile_image_height_px_p25                                    4.135072e-04  0.000030  3.305005e-06  5  4.752947e-04  3.517197e-04
op_type_clean_copyright_mapper                                 4.015506e-04  0.000019  6.016639e-07  5  4.407037e-04  3.623974e-04
op_type_clean_links_mapper                                     3.964888e-04  0.000051  3.286345e-05  5  5.020928e-04  2.908849e-04
profile_text_char_length_min                                   3.885992e-04  0.000021  1.014065e-06  5  4.317813e-04  3.454171e-04
profile_audio_file_size_kb_p25                                 3.880500e-04  0.000012  9.565396e-08  5  4.119312e-04  3.641688e-04
profile_image_file_size_kb_p25                                 3.747795e-04  0.000052  4.422989e-05  5  4.823921e-04  2.671668e-04
op_type_clean_ip_mapper                                        3.724733e-04  0.000033  7.362529e-06  5  4.405271e-04  3.044195e-04
profile_text_max_line_length_max                               3.654807e-04  0.000022  1.633497e-06  5  4.112466e-04  3.197147e-04
op_type_clean_email_mapper                                     3.629888e-04  0.000020  1.169148e-06  5  4.047889e-04  3.211887e-04
op_sentence_split_mapper_lang                                  3.590765e-04  0.000018  7.057975e-07  5  3.955159e-04  3.226370e-04
op_word_repetition_filter_tokenization                         3.551457e-04  0.000037  1.461031e-05  5  4.322428e-04  2.780487e-04
op_flagged_words_filter_use_words_aug                          3.464673e-04  0.000033  9.766135e-06  5  4.144293e-04  2.785053e-04
op_alphanumeric_filter_max_ratio                               3.201932e-04  0.000075  3.387096e-04  5  4.749116e-04  1.654748e-04
profile_audio_file_size_kb_p50                                 3.199084e-04  0.000023  3.342621e-06  5  3.678460e-04  2.719707e-04
op_word_repetition_filter_batch_size                           3.172978e-04  0.000022  2.675230e-06  5  3.622608e-04  2.723347e-04
profile_audio_duration_sec_mean                                3.172644e-04  0.000006  1.760459e-08  5  3.300508e-04  3.044780e-04
profile_text_char_length_mean                                  3.141785e-04  0.000011  2.126140e-07  5  3.377904e-04  2.905666e-04
op_type_punctuation_normalization_mapper                       3.084912e-04  0.000030  1.109067e-05  5  3.709713e-04  2.460111e-04
op_type_whitespace_normalization_mapper                        3.065211e-04  0.000031  1.184196e-05  5  3.696346e-04  2.434076e-04
profile_text_char_length_p5                                    2.957463e-04  0.000063  2.299973e-04  5  4.250561e-04  1.664365e-04
profile_text_char_length_p90                                   2.955720e-04  0.000016  9.572624e-07  5  3.279458e-04  2.631981e-04
profile_audio_file_size_kb_max                                 2.813140e-04  0.000029  1.333578e-05  5  3.409956e-04  2.216324e-04
op_special_characters_filter_batch_size                        2.714565e-04  0.000026  9.980909e-06  5  3.249967e-04  2.179162e-04
profile_image_aspect_ratio_w_over_h_p25                        2.454095e-04  0.000023  8.632327e-06  5  2.920774e-04  1.987417e-04
profile_audio_duration_sec_p10                                 2.423984e-04  0.000020  5.229708e-06  5  2.830399e-04  2.017568e-04
op_words_num_filter_min_num                                    2.358773e-04  0.000032  3.898441e-05  5  3.014761e-04  1.702786e-04
op_language_id_score_filter_min_score                          2.245339e-04  0.000040  1.121116e-04  5  3.061963e-04  1.428715e-04
op_character_repetition_filter_rep_len                         2.224524e-04  0.000049  2.671874e-04  5  3.235472e-04  1.213576e-04
op_stopwords_filter_min_ratio                                  2.144426e-04  0.000021  1.189390e-05  5  2.586456e-04  1.702397e-04
profile_text_sentence_count_mean                               2.117784e-04  0.000017  4.901617e-06  5  2.467131e-04  1.768437e-04
op_remove_long_words_mapper_min_len                            2.095799e-04  0.000074  1.628303e-03  5  3.628973e-04  5.626257e-05
profile_audio_file_size_kb_p95                                 2.016889e-04  0.000016  4.411411e-06  5  2.340907e-04  1.692871e-04
op_maximum_line_length_filter_batch_size                       1.986128e-04  0.000029  5.502436e-05  5  2.588866e-04  1.383390e-04
op_average_line_length_filter_batch_size                       1.881514e-04  0.000023  2.501070e-05  5  2.349251e-04  1.413778e-04
op_word_repetition_filter_max_ratio                            1.866846e-04  0.000020  1.535884e-05  5  2.277244e-04  1.456448e-04
profile_audio_file_size_kb_p90                                 1.787894e-04  0.000020  1.812577e-05  5  2.197687e-04  1.378100e-04
profile_image_file_size_kb_p5                                  1.749179e-04  0.000049  6.624070e-04  5  2.756035e-04  7.423224e-05
